valeur_fonciere,code_postal,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,exterieur
199000.0,31120,Appartement,105.0,5.0,0.0,0
145000.0,31120,Appartement,39.0,2.0,0.0,0
215000.0,31120,Appartement,61.0,3.0,0.0,0
300800.0,31120,Appartement,102.0,4.0,0.0,0
171500.0,31120,Appartement,66.0,3.0,0.0,0
164000.0,31120,Appartement,59.0,2.0,0.0,0
110000.0,31250,Appartement,45.0,2.0,47.0,1
58000.0,31250,Appartement,29.0,1.0,0.0,0
92000.0,31250,Appartement,42.0,2.0,0.0,0
51000.0,31250,Appartement,40.0,2.0,0.0,0
390000.0,31250,Appartement,195.0,9.0,960.0,1
190000.0,31250,Appartement,45.0,1.0,0.0,0
69000.0,31250,Appartement,41.0,2.0,0.0,0
170000.0,31250,Appartement,45.0,2.0,81.0,1
50000.0,31250,Appartement,23.0,1.0,0.0,0
34000.0,31250,Appartement,35.0,2.0,0.0,0
280000.0,31250,Appartement,14.0,1.0,50.0,1
120000.0,31250,Appartement,32.0,1.0,0.0,0
162000.0,31250,Appartement,30.0,1.0,126.0,1
75000.0,31250,Appartement,63.0,3.0,0.0,0
501800.0,31250,Appartement,55.0,3.0,166.0,1
40000.0,31250,Appartement,20.0,1.0,0.0,0
178000.0,31250,Appartement,30.0,1.0,39.0,1
72000.0,31250,Appartement,60.0,3.0,0.0,0
98000.0,31250,Appartement,67.0,3.0,0.0,0
150000.0,31250,Appartement,75.0,3.0,143.0,1
83620.0,31250,Appartement,41.0,2.0,0.0,0
73000.0,31250,Appartement,40.0,2.0,0.0,0
25000.0,31250,Appartement,21.0,1.0,0.0,0
65000.0,31250,Appartement,45.0,2.0,72.0,1
74000.0,31780,Appartement,30.0,2.0,0.0,0
114610.0,31780,Appartement,58.0,3.0,0.0,0
135000.0,31780,Appartement,72.0,3.0,0.0,0
158200.0,31780,Appartement,61.0,2.0,0.0,0
121000.0,31780,Appartement,47.0,2.0,0.0,0
140000.0,31780,Appartement,58.0,3.0,0.0,0
157340.0,31780,Appartement,76.0,4.0,0.0,0
130000.0,31780,Appartement,52.0,3.0,0.0,0
123500.0,31780,Appartement,40.0,2.0,0.0,0
141000.0,31780,Appartement,66.0,3.0,0.0,0
164300.0,31780,Appartement,60.0,3.0,0.0,0
267000.0,31780,Appartement,66.0,3.0,0.0,0
117000.0,31780,Appartement,44.0,2.0,0.0,0
166690.0,31780,Appartement,94.0,5.0,0.0,0
111393.0,31780,Appartement,41.0,2.0,0.0,0
161050.0,31780,Appartement,94.0,5.0,0.0,0
118320.0,31780,Appartement,76.0,4.0,0.0,0
93000.0,31780,Appartement,27.0,1.0,0.0,0
265000.0,31780,Appartement,65.0,3.0,0.0,0
190000.0,31780,Appartement,48.0,2.0,288.0,1
121550.0,31780,Appartement,43.0,2.0,0.0,0
258500.0,31780,Appartement,111.0,5.0,0.0,0
150000.0,31780,Appartement,76.0,4.0,0.0,0
108000.0,31780,Appartement,44.0,2.0,0.0,0
113000.0,31780,Appartement,56.0,3.0,0.0,0
125000.0,31780,Appartement,42.0,2.0,0.0,0
218000.0,31780,Appartement,94.0,5.0,0.0,0
316000.0,31780,Appartement,92.0,4.0,0.0,0
145000.0,31780,Appartement,52.0,2.0,0.0,0
130000.0,31780,Appartement,46.0,2.0,0.0,0
89900.0,31780,Appartement,40.0,2.0,0.0,0
129000.0,31780,Appartement,44.0,2.0,0.0,0
158250.0,31780,Appartement,61.0,3.0,0.0,0
115000.0,31780,Appartement,47.0,2.0,0.0,0
173250.0,31780,Appartement,61.0,3.0,0.0,0
102000.0,31780,Appartement,41.0,2.0,0.0,0
113250.0,31780,Appartement,38.0,2.0,0.0,0
115000.0,31780,Appartement,42.0,2.0,0.0,0
201430.0,31780,Appartement,65.0,3.0,0.0,0
448000.0,31780,Appartement,91.0,5.0,465.0,1
123000.0,31780,Appartement,41.0,2.0,0.0,0
170000.0,31780,Appartement,66.0,3.0,0.0,0
183780.0,31780,Appartement,72.0,3.0,0.0,0
89000.0,31780,Appartement,30.0,2.0,0.0,0
161750.0,31780,Appartement,76.0,4.0,0.0,0
128000.0,31780,Appartement,43.0,2.0,0.0,0
137800.0,31780,Appartement,57.0,3.0,0.0,0
104000.0,31780,Appartement,42.0,2.0,0.0,0
103000.0,31780,Appartement,66.0,2.0,0.0,0
83500.0,31780,Appartement,40.0,2.0,0.0,0
130000.0,31780,Appartement,42.0,2.0,0.0,0
128000.0,31780,Appartement,45.0,2.0,0.0,0
126000.0,31780,Appartement,43.0,2.0,0.0,0
166000.0,31780,Appartement,57.0,3.0,0.0,0
180000.0,31780,Appartement,60.0,3.0,0.0,0
125000.0,31780,Appartement,40.0,2.0,0.0,0
93000.0,31780,Appartement,41.0,2.0,0.0,0
145000.0,31780,Appartement,24.0,1.0,715.0,1
43500.0,31800,Appartement,52.0,3.0,0.0,0
252500.0,31150,Appartement,91.0,4.0,0.0,0
75000.0,31150,Appartement,46.0,2.0,0.0,0
82000.0,31150,Appartement,47.0,2.0,0.0,0
115000.0,31150,Appartement,65.0,3.0,0.0,0
148222.0,31150,Appartement,57.0,3.0,0.0,0
175000.0,31140,Appartement,64.0,3.0,0.0,0
99500.0,31140,Appartement,37.0,2.0,0.0,0
103000.0,31140,Appartement,36.0,2.0,0.0,0
87500.0,31140,Appartement,22.0,1.0,0.0,0
105000.0,31140,Appartement,36.0,2.0,0.0,0
128000.0,31140,Appartement,41.0,2.0,0.0,0
115000.0,31140,Appartement,44.0,2.0,0.0,0
128300.0,31140,Appartement,35.0,2.0,0.0,0
162000.0,31140,Appartement,66.0,3.0,0.0,0
235000.0,31140,Appartement,89.0,5.0,0.0,0
98000.0,31140,Appartement,50.0,2.0,0.0,0
116400.0,31140,Appartement,39.0,2.0,0.0,0
376000.0,31140,Appartement,130.0,6.0,1002.0,1
140000.0,31120,Appartement,60.0,3.0,0.0,0
150000.0,31120,Appartement,62.0,3.0,0.0,0
116000.0,31120,Appartement,42.0,2.0,0.0,0
100000.0,31120,Appartement,41.0,2.0,0.0,0
190050.0,31120,Appartement,102.0,4.0,0.0,0
113000.0,31120,Appartement,42.0,2.0,0.0,0
179000.0,31120,Appartement,60.0,3.0,0.0,0
99000.0,31120,Appartement,44.0,2.0,0.0,0
400000.0,31120,Appartement,49.0,2.0,150.0,1
147700.0,31120,Appartement,60.0,3.0,0.0,0
106550.0,31120,Appartement,40.0,2.0,0.0,0
85000.0,31120,Appartement,36.0,2.0,0.0,0
120000.0,31120,Appartement,47.0,2.0,0.0,0
140000.0,31120,Appartement,62.0,3.0,0.0,0
104000.0,31120,Appartement,45.0,2.0,0.0,0
163000.0,31440,Appartement,155.0,4.0,0.0,0
198620.0,31450,Appartement,67.0,3.0,0.0,0
330000.0,31370,Appartement,67.0,3.0,1096.0,1
167490.0,31370,Appartement,66.0,4.0,0.0,0
125000.0,31370,Appartement,64.0,3.0,0.0,0
251000.0,31600,Appartement,84.0,4.0,0.0,0
100550.0,31600,Appartement,62.0,3.0,0.0,0
172500.0,31600,Appartement,67.0,3.0,0.0,0
107693.0,31600,Appartement,58.0,3.0,0.0,0
108170.0,31600,Appartement,47.0,2.0,0.0,0
179050.0,31600,Appartement,87.0,4.0,0.0,0
66000.0,31600,Appartement,47.0,2.0,0.0,0
117000.0,31600,Appartement,42.0,2.0,0.0,0
100000.0,31600,Appartement,65.0,4.0,0.0,0
186000.0,31600,Appartement,58.0,4.0,460.0,1
114000.0,31600,Appartement,57.0,3.0,0.0,0
181000.0,31600,Appartement,72.0,3.0,0.0,0
77200.0,31600,Appartement,77.0,4.0,0.0,0
66000.0,31600,Appartement,47.0,2.0,0.0,0
365500.0,31600,Appartement,100.0,5.0,0.0,0
112500.0,31600,Appartement,55.0,3.0,0.0,0
153000.0,31600,Appartement,64.0,3.0,0.0,0
70000.0,31600,Appartement,92.0,5.0,0.0,0
80000.0,31600,Appartement,52.0,2.0,0.0,0
75900.0,31600,Appartement,40.0,2.0,0.0,0
124350.0,31600,Appartement,69.0,3.0,0.0,0
281650.0,31600,Appartement,109.0,5.0,0.0,0
164000.0,31600,Appartement,64.0,3.0,0.0,0
179000.0,31600,Appartement,64.0,3.0,0.0,0
64000.0,31600,Appartement,28.0,1.0,0.0,0
125000.0,31600,Appartement,67.0,3.0,0.0,0
70000.0,31600,Appartement,77.0,4.0,0.0,0
129720.0,31600,Appartement,63.0,3.0,0.0,0
177100.0,31600,Appartement,83.0,4.0,0.0,0
112000.0,31600,Appartement,75.0,4.0,0.0,0
79000.0,31600,Appartement,40.0,2.0,0.0,0
6500.0,31600,Appartement,119.0,4.0,0.0,0
130000.0,31600,Appartement,66.0,3.0,0.0,0
121000.0,31600,Appartement,44.0,2.0,0.0,0
108500.0,31600,Appartement,43.0,2.0,0.0,0
85000.0,31600,Appartement,90.0,5.0,0.0,0
95000.0,31600,Appartement,42.0,2.0,0.0,0
130000.0,31600,Appartement,63.0,3.0,0.0,0
99000.0,31600,Appartement,52.0,3.0,0.0,0
115000.0,31600,Appartement,61.0,3.0,0.0,0
88000.0,31600,Appartement,47.0,2.0,0.0,0
110000.0,31600,Appartement,45.0,2.0,0.0,0
150500.0,31600,Appartement,70.0,3.0,0.0,0
180000.0,31600,Appartement,21.0,1.0,117.0,1
102495.0,31600,Appartement,43.0,2.0,0.0,0
276000.0,31600,Appartement,22.0,1.0,230.0,1
1000000.0,31600,Appartement,57.0,3.0,80.0,1
99000.0,31600,Appartement,88.0,4.0,0.0,0
85000.0,31600,Appartement,45.0,2.0,0.0,0
94000.0,31600,Appartement,41.0,2.0,0.0,0
124100.0,31600,Appartement,43.0,2.0,0.0,0
108000.0,31600,Appartement,43.0,2.0,0.0,0
88000.0,31600,Appartement,45.0,2.0,0.0,0
125000.0,31600,Appartement,53.0,3.0,0.0,0
94500.0,31600,Appartement,43.0,2.0,0.0,0
170000.0,31600,Appartement,73.0,3.0,0.0,0
155000.0,31600,Appartement,64.0,3.0,0.0,0
135000.0,31600,Appartement,62.0,3.0,0.0,0
112000.0,31600,Appartement,41.0,2.0,0.0,0
139600.0,31600,Appartement,67.0,3.0,0.0,0
139000.0,31600,Appartement,62.0,3.0,0.0,0
64500.0,31600,Appartement,27.0,1.0,0.0,0
73600.0,31600,Appartement,37.0,2.0,0.0,0
44444.0,31600,Appartement,71.0,4.0,0.0,0
120000.0,31600,Appartement,67.0,3.0,0.0,0
5000.0,31600,Appartement,72.0,3.0,0.0,0
33500.0,31600,Appartement,35.0,2.0,0.0,0
233570.0,31600,Appartement,94.0,4.0,0.0,0
88000.0,31600,Appartement,45.0,2.0,0.0,0
69000.0,31600,Appartement,29.0,1.0,0.0,0
130000.0,31600,Appartement,61.0,3.0,0.0,0
113000.0,31600,Appartement,57.0,3.0,0.0,0
170000.0,31600,Appartement,55.0,3.0,403.0,1
109000.0,31600,Appartement,45.0,2.0,0.0,0
115000.0,31600,Appartement,62.0,3.0,0.0,0
124000.0,31600,Appartement,45.0,2.0,0.0,0
122000.0,31600,Appartement,43.0,2.0,0.0,0
115000.0,31600,Appartement,60.0,3.0,0.0,0
119500.0,31600,Appartement,57.0,3.0,0.0,0
87200.0,31600,Appartement,36.0,2.0,0.0,0
100000.0,31600,Appartement,44.0,2.0,0.0,0
91000.0,31600,Appartement,45.0,2.0,0.0,0
109900.0,31600,Appartement,42.0,2.0,0.0,0
80000.0,31600,Appartement,62.0,3.0,0.0,0
135000.0,31600,Appartement,63.0,3.0,0.0,0
100000.0,31600,Appartement,46.0,2.0,0.0,0
111382.0,31600,Appartement,52.0,3.0,0.0,0
96500.0,31600,Appartement,35.0,2.0,0.0,0
86500.0,31600,Appartement,42.0,2.0,0.0,0
208000.0,31600,Appartement,30.0,1.0,0.0,0
80000.0,31600,Appartement,43.0,2.0,0.0,0
139900.0,31600,Appartement,63.0,3.0,0.0,0
121150.0,31600,Appartement,57.0,3.0,0.0,0
140000.0,31600,Appartement,55.0,3.0,0.0,0
104000.0,31600,Appartement,90.0,5.0,0.0,0
148100.0,31600,Appartement,69.0,4.0,0.0,0
107000.0,31600,Appartement,44.0,2.0,0.0,0
145000.0,31600,Appartement,63.0,3.0,0.0,0
140000.0,31600,Appartement,61.0,3.0,0.0,0
110000.0,31600,Appartement,52.0,3.0,0.0,0
102000.0,31600,Appartement,65.0,3.0,0.0,0
93500.0,31600,Appartement,36.0,2.0,0.0,0
170000.0,31600,Appartement,35.0,2.0,0.0,0
107000.0,31600,Appartement,47.0,2.0,0.0,0
66000.0,31600,Appartement,47.0,2.0,0.0,0
108800.0,31600,Appartement,62.0,2.0,0.0,0
70000.0,31600,Appartement,77.0,4.0,0.0,0
100000.0,31600,Appartement,40.0,2.0,0.0,0
118000.0,31600,Appartement,44.0,2.0,0.0,0
80000.0,31600,Appartement,40.0,2.0,0.0,0
146400.0,31600,Appartement,68.0,3.0,0.0,0
86770.0,31600,Appartement,45.0,2.0,0.0,0
150000.0,31600,Appartement,78.0,4.0,0.0,0
