valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain
104000.0,31170,Tournefeuille,Appartement,29.0,1.0,None,0.0
383000.0,31170,Tournefeuille,Maison,97.0,5.0,sols,395.0
1400000.0,31170,Tournefeuille,Maison,156.0,5.0,sols,800.0
226500.0,31170,Tournefeuille,Appartement,103.0,5.0,None,0.0
231000.0,31170,Tournefeuille,Appartement,60.0,3.0,None,0.0
431731.0,31170,Tournefeuille,Maison,121.0,6.0,sols,539.0
168000.0,31170,Tournefeuille,Appartement,62.0,3.0,None,0.0
320000.0,31170,Tournefeuille,Maison,83.0,4.0,sols,715.0
330000.0,31170,Tournefeuille,Maison,86.0,4.0,sols,441.0
130500.0,31170,Tournefeuille,Appartement,42.0,2.0,None,0.0
420000.0,31170,Tournefeuille,Maison,122.0,5.0,sols,691.0
166000.0,31170,Tournefeuille,Appartement,46.0,2.0,None,0.0
194100.0,31170,Tournefeuille,Appartement,60.0,3.0,None,0.0
241000.0,31170,Tournefeuille,Maison,82.0,4.0,sols,268.0
162000.0,31170,Tournefeuille,Appartement,64.0,3.0,None,0.0
420000.0,31170,Tournefeuille,Maison,98.0,4.0,sols,872.0
352000.0,31170,Tournefeuille,Maison,114.0,5.0,sols,618.0
186500.0,31170,Tournefeuille,Appartement,72.0,3.0,None,0.0
191000.0,31170,Tournefeuille,Appartement,44.0,2.0,None,0.0
156799.0,31170,Tournefeuille,Appartement,62.0,3.0,None,0.0
516550.0,31170,Tournefeuille,Maison,120.0,4.0,sols,854.0
147000.0,31170,Tournefeuille,Appartement,58.0,3.0,None,0.0
175000.0,31170,Tournefeuille,Appartement,44.0,2.0,None,0.0
79500.0,31170,Tournefeuille,Appartement,27.0,1.0,None,0.0
459950.0,31170,Tournefeuille,Maison,119.0,5.0,sols,622.0
135000.0,31170,Tournefeuille,Appartement,44.0,2.0,None,0.0
183000.0,31170,Tournefeuille,Appartement,59.0,3.0,None,0.0
110000.0,31170,Tournefeuille,Appartement,41.0,2.0,None,0.0
630210.0,31170,Tournefeuille,Maison,162.0,7.0,sols,465.0
243400.0,31170,Tournefeuille,Maison,70.0,3.0,sols,210.0
499017.0,31170,Tournefeuille,Maison,88.0,4.0,sols,616.0
175000.0,31170,Tournefeuille,Appartement,60.0,3.0,None,0.0
385500.0,31170,Tournefeuille,Maison,91.0,5.0,sols,495.0
795000.0,31170,Tournefeuille,Maison,138.0,5.0,sols,700.0
145000.0,31170,Tournefeuille,Appartement,43.0,2.0,None,0.0
329000.0,31170,Tournefeuille,Appartement,84.0,4.0,None,0.0
420000.0,31170,Tournefeuille,Maison,104.0,5.0,None,0.0
43470.0,31170,Tournefeuille,Appartement,23.0,1.0,None,0.0
44950.0,31170,Tournefeuille,Maison,137.0,6.0,sols,598.0
287000.0,31170,Tournefeuille,Maison,80.0,4.0,sols,453.0
445500.0,31170,Tournefeuille,Maison,115.0,5.0,sols,493.0
161000.0,31170,Tournefeuille,Appartement,62.0,3.0,None,0.0
272770.0,31170,Tournefeuille,Appartement,92.0,4.0,None,0.0
139183.0,31170,Tournefeuille,Appartement,40.0,2.0,None,0.0
329800.0,31170,Tournefeuille,Maison,114.0,6.0,sols,657.0
354890.0,31170,Tournefeuille,Maison,92.0,4.0,sols,538.0
276000.0,31170,Tournefeuille,Maison,82.0,4.0,sols,150.0
514675.0,31170,Tournefeuille,Maison,124.0,5.0,sols,1198.0
637000.0,31170,Tournefeuille,Maison,158.0,5.0,sols,1018.0
190000.0,31170,Tournefeuille,Appartement,62.0,3.0,None,0.0
460000.0,31170,Tournefeuille,Maison,169.0,5.0,sols,1000.0
95500.0,31170,Tournefeuille,Appartement,35.0,2.0,None,0.0
125000.0,31170,Tournefeuille,Appartement,41.0,2.0,None,0.0
400000.0,31170,Tournefeuille,Maison,146.0,5.0,sols,638.0
338250.0,31170,Tournefeuille,Maison,98.0,4.0,sols,485.0
129000.0,31170,Tournefeuille,Appartement,41.0,2.0,None,0.0
710000.0,31170,Tournefeuille,Maison,160.0,5.0,sols,1969.0
315740.0,31170,Tournefeuille,Maison,73.0,4.0,sols,322.0
390000.0,31170,Tournefeuille,Maison,115.0,5.0,sols,510.0
210000.0,31170,Tournefeuille,Appartement,63.0,3.0,None,0.0
383643.0,31170,Tournefeuille,Maison,117.0,5.0,sols,1208.0
168000.0,31170,Tournefeuille,Maison,86.0,4.0,sols,226.0
114000.0,31170,Tournefeuille,Appartement,38.0,1.0,None,0.0
292430.0,31170,Tournefeuille,Maison,90.0,4.0,sols,326.0
542936.0,31170,Tournefeuille,Maison,153.0,8.0,sols,340.0
591220.0,31170,Tournefeuille,Maison,141.0,6.0,sols,690.0
305400.0,31170,Tournefeuille,Maison,105.0,5.0,sols,481.0
250000.0,31170,Tournefeuille,Maison,98.0,4.0,terrains a bâtir,734.0
636880.0,31170,Tournefeuille,Maison,170.0,6.0,sols,671.0
807080.0,31170,Tournefeuille,Maison,149.0,6.0,sols,1465.0
97000.0,31170,Tournefeuille,Appartement,28.0,1.0,None,0.0
165500.0,31170,Tournefeuille,Appartement,59.0,3.0,None,0.0
294500.0,31170,Tournefeuille,Appartement,70.0,3.0,None,0.0
289000.0,31170,Tournefeuille,Maison,85.0,6.0,sols,660.0
520000.0,31170,Tournefeuille,Maison,94.0,4.0,sols,624.0
249400.0,31170,Tournefeuille,Maison,71.0,3.0,sols,453.0
610000.0,31170,Tournefeuille,Maison,134.0,5.0,sols,1005.0
365700.0,31170,Tournefeuille,Maison,90.0,4.0,sols,601.0
300000.0,31170,Tournefeuille,Maison,121.0,5.0,sols,582.0
614087.0,31170,Tournefeuille,Maison,150.0,6.0,sols,1000.0
461600.0,31170,Tournefeuille,Maison,127.0,6.0,sols,477.0
297580.0,31170,Tournefeuille,Appartement,85.0,4.0,None,0.0
137000.0,31170,Tournefeuille,Appartement,30.0,2.0,None,0.0
900000.0,31170,Tournefeuille,Maison,65.0,4.0,sols,814.0
161000.0,31170,Tournefeuille,Appartement,62.0,3.0,None,0.0
117000.0,31170,Tournefeuille,Appartement,50.0,2.0,None,0.0
686000.0,31170,Tournefeuille,Maison,190.0,4.0,terrains d'agrément,1332.0
267000.0,31170,Tournefeuille,Appartement,64.0,3.0,None,0.0
500000.0,31170,Tournefeuille,Maison,114.0,4.0,sols,1000.0
179000.0,31170,Tournefeuille,Appartement,60.0,3.0,None,0.0
438500.0,31170,Tournefeuille,Maison,100.0,4.0,terrains d'agrément,851.0
365700.0,31170,Tournefeuille,Maison,96.0,4.0,sols,730.0
476190.0,31170,Tournefeuille,Maison,59.0,3.0,sols,834.0
575300.0,31170,Tournefeuille,Maison,145.0,6.0,sols,1067.0
229750.0,31170,Tournefeuille,Appartement,62.0,3.0,None,0.0
497520.0,31170,Tournefeuille,Maison,120.0,5.0,sols,1120.0
