code_postal,surface_reelle_bati,nombre_pieces_principales,surface_terrain,exterieur,log_valeur_fonciere
31650,110.0,5.0,748.0,1,12.577639650232571
31650,110.0,5.0,642.0,1,12.760247946533124
31650,94.0,5.0,241.0,1,12.711989239702984
31650,81.0,4.0,603.0,1,12.776235474512076
31650,98.0,4.0,637.0,1,12.858803999072675
31650,108.0,5.0,672.0,1,12.611541086966117
31650,240.0,7.0,806.0,1,13.360594142179467
31650,148.0,6.0,500.0,1,13.055156766746023
31650,78.0,4.0,295.0,1,12.595072949607092
31650,127.0,4.0,603.0,1,13.005831808336865
31650,120.0,5.0,588.0,1,11.156264806643742
31650,110.0,5.0,694.0,1,13.026823371191938
31650,136.0,6.0,771.0,1,12.852785759142485
31650,96.0,4.0,682.0,1,12.618185607609805
31650,109.0,5.0,454.0,1,12.759960632315702
31650,152.0,6.0,1000.0,1,13.207514859194012
31650,82.0,4.0,0.0,0,12.512457475937662
31650,131.0,5.0,610.0,1,13.137945345530612
31650,100.0,4.0,398.0,1,12.562000810699038
31650,89.0,5.0,480.0,1,12.80902429414634
31650,93.0,5.0,300.0,1,12.345838935721968
31650,95.0,4.0,603.0,1,12.999067423500716
31650,84.0,4.0,609.0,1,12.668865967876195
31650,108.0,4.0,680.0,1,12.966027645421732
31650,118.0,4.0,703.0,1,12.793862088206213
31650,130.0,5.0,446.0,1,12.296831574998258
31650,100.0,4.0,857.0,1,12.777055016970678
31650,98.0,4.0,521.0,1,12.82369045961856
31650,82.0,4.0,0.0,0,12.610707408997625
31650,83.0,4.0,0.0,0,12.41106037282304
31650,170.0,7.0,671.0,1,13.089842251812335
31650,80.0,1.0,452.0,1,11.898194668458824
31650,80.0,4.0,0.0,0,12.433610527614848
31650,94.0,5.0,358.0,1,12.697412651747085
31650,93.0,5.0,444.0,1,12.345838935721968
31650,114.0,5.0,229.0,1,12.732016412096064
31650,91.0,5.0,457.0,1,12.34366266577172
31650,82.0,4.0,0.0,0,12.658901504137932
31650,139.0,4.0,581.0,1,13.080396978302876
31650,101.0,5.0,483.0,1,12.614868865984633
31650,94.0,5.0,222.0,1,12.804087380490136
31650,75.0,4.0,205.0,1,12.170450649220747
