valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain,year,prix_mcarre
400000.0,31470,Fonsorbes,Maison,147.0,6.0,sols,1200.0,2022,2721.08843537415
345000.0,31470,Fonsorbes,Maison,92.0,4.0,sols,495.0,2022,3750.0
391000.0,31470,Fonsorbes,Maison,134.0,4.0,sols,1454.0,2022,2917.910447761194
354050.0,31470,Fonsorbes,Maison,120.0,5.0,sols,928.0,2022,2950.4166666666665
634400.0,31470,Fonsorbes,Maison,209.0,6.0,sols,1000.0,2022,3035.406698564593
239000.0,31470,Fonsorbes,Maison,67.0,4.0,sols,1156.0,2022,3567.1641791044776
289940.0,31470,Fonsorbes,Maison,78.0,4.0,sols,432.0,2022,3717.1794871794873
243950.0,31470,Fonsorbes,Maison,83.0,4.0,sols,161.0,2022,2939.156626506024
437700.0,31470,Fonsorbes,Maison,172.0,6.0,sols,2149.0,2022,2544.767441860465
188750.0,31470,Fonsorbes,Maison,77.0,3.0,sols,185.0,2022,2451.2987012987014
191700.0,31470,Fonsorbes,Maison,47.0,2.0,sols,1142.0,2022,4078.723404255319
485900.0,31470,Fonsorbes,Maison,169.0,5.0,sols,1107.0,2022,2875.147928994083
305000.0,31470,Fonsorbes,Maison,172.0,4.0,sols,1222.0,2022,1773.2558139534883
295000.0,31470,Fonsorbes,Maison,122.0,4.0,sols,780.0,2022,2418.032786885246
300600.0,31470,Fonsorbes,Maison,98.0,4.0,sols,404.0,2022,3067.3469387755104
252650.0,31470,Fonsorbes,Maison,80.0,4.0,sols,1717.0,2022,3158.125
260000.0,31470,Fonsorbes,Maison,102.0,4.0,sols,1153.0,2022,2549.0196078431372
379620.0,31470,Fonsorbes,Maison,121.0,6.0,sols,803.0,2022,3137.3553719008264
314600.0,31470,Fonsorbes,Maison,110.0,4.0,sols,585.0,2022,2860.0
192000.0,31470,Fonsorbes,Maison,63.0,3.0,sols,165.0,2022,3047.6190476190477
307000.0,31470,Fonsorbes,Maison,96.0,4.0,sols,1055.0,2022,3197.9166666666665
