valeur_fonciere,code_postal,surface_reelle_bati,nombre_pieces_principales,surface_terrain,exterieur
321150.0,31370.0,102.0,4.0,1000.0,1
249000.0,31370.0,134.0,4.0,492.0,1
222600.0,31370.0,75.0,4.0,1365.0,1
130000.0,31370.0,100.0,4.0,202.0,1
89000.0,31370.0,48.0,2.0,137.0,1
78000.0,31370.0,105.0,4.0,188.0,1
532000.0,31320.0,165.0,6.0,1520.0,1
559320.0,31320.0,175.0,5.0,1204.0,1
258000.0,31320.0,72.0,4.0,709.0,1
120000.0,31480.0,81.0,3.0,1560.0,1
321100.0,31450.0,95.0,4.0,1000.0,1
208050.0,31450.0,72.0,3.0,202.0,1
275850.0,31450.0,79.0,3.0,500.0,1
230000.0,31450.0,84.0,4.0,221.0,1
289400.0,31450.0,86.0,4.0,788.0,1
200000.0,31450.0,70.0,3.0,778.0,1
233000.0,31450.0,72.0,3.0,199.0,1
228000.0,31450.0,115.0,2.0,0.0,0
288000.0,31450.0,115.0,2.0,0.0,0
299730.0,31450.0,100.0,4.0,663.0,1
340000.0,31450.0,126.0,5.0,1232.0,1
325000.0,31450.0,83.0,5.0,740.0,1
275000.0,31450.0,146.0,4.0,724.0,1
277128.0,31450.0,97.0,4.0,549.0,1
306050.0,31450.0,113.0,3.0,601.0,1
155000.0,31510.0,160.0,5.0,780.0,1
120000.0,31370.0,80.0,3.0,3417.0,1
150000.0,31370.0,163.0,4.0,710.0,1
115000.0,31290.0,100.0,3.0,265.0,1
462450.0,31290.0,230.0,8.0,2009.0,1
458510.0,31290.0,143.0,5.0,2768.0,1
269500.0,31370.0,150.0,5.0,3353.0,1
212500.0,31370.0,90.0,4.0,1258.0,1
315850.0,31370.0,98.0,5.0,9079.0,1
287500.0,31450.0,95.0,5.0,0.0,0
187700.0,31450.0,100.0,3.0,1012.0,1
299100.0,31450.0,104.0,5.0,861.0,1
262350.0,31700.0,84.0,4.0,0.0,0
249000.0,31700.0,165.0,6.0,840.0,1
210700.0,31700.0,85.0,4.0,254.0,1
300000.0,31700.0,104.0,4.0,157.0,1
371050.0,31700.0,136.0,8.0,698.0,1
527500.0,31700.0,132.0,3.0,847.0,1
253800.0,31700.0,84.0,4.0,164.0,1
210000.0,31700.0,84.0,4.0,0.0,0
335000.0,31700.0,113.0,4.0,481.0,1
