valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain
158000.0,31170,Tournefeuille,Appartement,59.0,3.0,,0.0
261100.0,31170,Tournefeuille,Appartement,64.0,3.0,,0.0
162800.0,31170,Tournefeuille,Appartement,74.0,3.0,,0.0
227000.0,31170,Tournefeuille,Appartement,67.0,3.0,,0.0
155000.0,31170,Tournefeuille,Appartement,44.0,2.0,,0.0
100000.0,31170,Tournefeuille,Appartement,33.0,1.0,,0.0
204940.0,31170,Tournefeuille,Appartement,70.0,2.0,,0.0
126800.0,31620,Fronton,Appartement,64.0,3.0,,0.0
187000.0,31620,Fronton,Appartement,90.0,3.0,,0.0
85000.0,31620,Fronton,Appartement,51.0,3.0,,0.0
80000.0,31620,Fronton,Appartement,55.0,3.0,,0.0
190000.0,31620,Fronton,Appartement,68.0,3.0,,0.0
67000.0,31620,Fronton,Appartement,47.0,2.0,,0.0
215000.0,31620,Fronton,Appartement,91.0,4.0,sols,611.0
144000.0,31620,Fronton,Appartement,60.0,3.0,,0.0
400000.0,31620,Fronton,Appartement,80.0,4.0,,0.0
250000.0,31620,Fronton,Appartement,86.0,4.0,sols,920.0
75000.0,31620,Fronton,Appartement,44.0,2.0,,0.0
300000.0,31620,Fronton,Appartement,132.0,4.0,,0.0
75000.0,31620,Fronton,Appartement,21.0,1.0,,0.0
180000.0,31390,Carbonne,Appartement,107.0,7.0,,0.0
91900.0,31390,Carbonne,Appartement,41.0,2.0,,0.0
85100.0,31390,Carbonne,Appartement,42.0,2.0,,0.0
103150.0,31390,Carbonne,Appartement,42.0,2.0,,0.0
80650.0,31390,Carbonne,Appartement,37.0,2.0,,0.0
124000.0,31390,Carbonne,Appartement,55.0,0.0,,0.0
74000.0,31390,Carbonne,Appartement,40.0,2.0,,0.0
129000.0,31390,Carbonne,Appartement,67.0,3.0,,0.0
85000.0,31390,Carbonne,Appartement,44.0,2.0,,0.0
78000.0,31390,Carbonne,Appartement,37.0,2.0,,0.0
87000.0,31390,Carbonne,Appartement,42.0,2.0,,0.0
82600.0,31390,Carbonne,Appartement,37.0,2.0,,0.0
110000.0,31390,Carbonne,Appartement,62.0,3.0,sols,116.0
85000.0,31390,Carbonne,Appartement,44.0,2.0,,0.0
45000.0,31390,Carbonne,Appartement,60.0,2.0,sols,584.0
506015.0,31390,Carbonne,Appartement,130.0,4.0,sols,872.0
343000.0,31390,Carbonne,Appartement,202.0,7.0,sols,1271.0
85000.0,31390,Carbonne,Appartement,41.0,2.0,,0.0
110000.0,31390,Carbonne,Appartement,53.0,3.0,,0.0
200000.0,31220,Cazères,Appartement,103.0,4.0,sols,175.0
120000.0,31220,Cazères,Appartement,64.0,3.0,sols,100.0
110800.0,31220,Cazères,Appartement,63.0,3.0,,0.0
76000.0,31220,Cazères,Appartement,43.0,2.0,,0.0
115000.0,31220,Cazères,Appartement,54.0,3.0,,0.0
132000.0,31220,Cazères,Appartement,80.0,3.0,sols,215.0
115000.0,31220,Cazères,Appartement,35.0,2.0,sols,45.0
59100.0,31220,Cazères,Appartement,36.0,2.0,,0.0
335841.0,31220,Cazères,Appartement,70.0,3.0,sols,204.0
136000.0,31220,Cazères,Appartement,86.0,3.0,sols,87.0
89000.0,31220,Cazères,Appartement,55.0,3.0,,0.0
62000.0,31220,Cazères,Appartement,38.0,2.0,,0.0
115000.0,31220,Cazères,Appartement,62.0,3.0,,0.0
50000.0,31220,Cazères,Appartement,26.0,1.0,,0.0
430000.0,31220,Cazères,Appartement,30.0,1.0,sols,167.0
57180.0,31220,Cazères,Appartement,31.0,2.0,,0.0
91000.0,31220,Cazères,Appartement,54.0,2.0,,0.0
137950.0,31220,Cazères,Appartement,73.0,4.0,,0.0
136000.0,31220,Cazères,Appartement,86.0,3.0,sols,87.0
73700.0,31220,Cazères,Appartement,41.0,2.0,,0.0
47000.0,31220,Cazères,Appartement,22.0,1.0,,0.0
65000.0,31220,Cazères,Appartement,48.0,2.0,,0.0
96500.0,31220,Cazères,Appartement,74.0,3.0,,0.0
96000.0,31220,Cazères,Appartement,62.0,3.0,,0.0
85000.0,31220,Cazères,Appartement,44.0,2.0,,0.0
134000.0,31220,Cazères,Appartement,86.0,3.0,sols,83.0
43000.0,31220,Cazères,Appartement,32.0,1.0,,0.0
113750.0,31220,Cazères,Appartement,62.0,3.0,,0.0
143000.0,31220,Cazères,Appartement,86.0,3.0,sols,75.0
145000.0,31220,Cazères,Appartement,86.0,3.0,sols,68.0
86000.0,31220,Cazères,Appartement,65.0,3.0,,0.0
158000.0,31220,Cazères,Appartement,110.0,4.0,sols,2350.0
89000.0,31220,Cazères,Appartement,62.0,3.0,,0.0
210000.0,31650,Saint-Orens-de-Gameville,Appartement,63.0,3.0,,0.0
159500.0,31650,Saint-Orens-de-Gameville,Appartement,64.0,3.0,,0.0
233000.0,31650,Saint-Orens-de-Gameville,Appartement,62.0,3.0,,0.0
190860.0,31650,Saint-Orens-de-Gameville,Appartement,73.0,3.0,,0.0
154490.0,31650,Saint-Orens-de-Gameville,Appartement,48.0,2.0,,0.0
112000.0,31650,Saint-Orens-de-Gameville,Appartement,45.0,2.0,,0.0
97500.0,31650,Saint-Orens-de-Gameville,Appartement,38.0,2.0,,0.0
114000.0,31650,Saint-Orens-de-Gameville,Appartement,46.0,2.0,,0.0
112000.0,31650,Saint-Orens-de-Gameville,Appartement,43.0,2.0,,0.0
238450.0,31650,Saint-Orens-de-Gameville,Appartement,65.0,3.0,,0.0
112000.0,31650,Saint-Orens-de-Gameville,Appartement,44.0,2.0,,0.0
156000.0,31650,Saint-Orens-de-Gameville,Appartement,61.0,3.0,,0.0
93000.0,31650,Saint-Orens-de-Gameville,Appartement,38.0,2.0,,0.0
238583.0,31650,Saint-Orens-de-Gameville,Appartement,66.0,3.0,,0.0
159000.0,31650,Saint-Orens-de-Gameville,Appartement,64.0,3.0,,0.0
220000.0,31650,Saint-Orens-de-Gameville,Appartement,92.0,4.0,,0.0
169000.0,31650,Saint-Orens-de-Gameville,Appartement,49.0,2.0,,0.0
163000.0,31650,Saint-Orens-de-Gameville,Appartement,64.0,3.0,,0.0
247500.0,31650,Saint-Orens-de-Gameville,Appartement,79.0,4.0,,0.0
236500.0,31650,Saint-Orens-de-Gameville,Appartement,65.0,3.0,,0.0
149000.0,31650,Saint-Orens-de-Gameville,Appartement,53.0,3.0,,0.0
140970.0,31650,Saint-Orens-de-Gameville,Appartement,45.0,2.0,,0.0
164516.0,31650,Saint-Orens-de-Gameville,Appartement,44.0,2.0,,0.0
72445.0,31650,Saint-Orens-de-Gameville,Appartement,21.0,1.0,,0.0
113500.0,31650,Saint-Orens-de-Gameville,Appartement,38.0,2.0,,0.0
196300.0,31650,Saint-Orens-de-Gameville,Appartement,66.0,3.0,,0.0
177500.0,31650,Saint-Orens-de-Gameville,Appartement,55.0,3.0,,0.0
133100.0,31650,Saint-Orens-de-Gameville,Appartement,32.0,2.0,,0.0
274860.0,31650,Saint-Orens-de-Gameville,Appartement,84.0,4.0,,0.0
386000.0,31650,Saint-Orens-de-Gameville,Appartement,79.0,4.0,,0.0
210500.0,31650,Saint-Orens-de-Gameville,Appartement,65.0,3.0,,0.0
154500.0,31650,Saint-Orens-de-Gameville,Appartement,47.0,2.0,,0.0
120000.0,31650,Saint-Orens-de-Gameville,Appartement,51.0,2.0,,0.0
202500.0,31650,Saint-Orens-de-Gameville,Appartement,61.0,3.0,,0.0
170000.0,31650,Saint-Orens-de-Gameville,Appartement,48.0,2.0,,0.0
180000.0,31650,Saint-Orens-de-Gameville,Appartement,65.0,3.0,,0.0
