valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain,year
116680.0,31700,Beauzelle,Appartement,42.0,2.0,None,0.0,2023
210000.0,31700,Beauzelle,Appartement,65.0,3.0,None,0.0,2023
189500.0,31700,Beauzelle,Appartement,93.0,5.0,None,0.0,2023
323940.0,31700,Beauzelle,Maison,91.0,4.0,sols,205.0,2023
170000.0,31700,Beauzelle,Appartement,64.0,3.0,None,0.0,2023
160000.0,31700,Beauzelle,Appartement,93.0,5.0,None,0.0,2023
375150.0,31700,Beauzelle,Maison,90.0,3.0,sols,653.0,2023
512040.0,31700,Beauzelle,Maison,125.0,5.0,sols,651.0,2023
114900.0,31700,Beauzelle,Appartement,41.0,2.0,None,0.0,2023
178600.0,31700,Beauzelle,Appartement,57.0,3.0,None,0.0,2023
340000.0,31700,Beauzelle,Maison,94.0,4.0,sols,631.0,2023
133650.0,31700,Beauzelle,Appartement,42.0,2.0,None,0.0,2023
310000.0,31700,Beauzelle,Appartement,93.0,4.0,None,0.0,2023
371000.0,31700,Beauzelle,Maison,95.0,5.0,sols,393.0,2023
280000.0,31700,Beauzelle,Maison,90.0,5.0,sols,247.0,2023
280000.0,31700,Beauzelle,Maison,90.0,4.0,sols,372.0,2023
317000.0,31700,Beauzelle,Maison,80.0,4.0,sols,576.0,2023
187050.0,31700,Beauzelle,Appartement,64.0,3.0,None,0.0,2023
319610.0,31700,Beauzelle,Maison,114.0,5.0,None,0.0,2023
120000.0,31700,Beauzelle,Appartement,44.0,2.0,None,0.0,2023
440000.0,31700,Beauzelle,Maison,110.0,4.0,sols,920.0,2023
360000.0,31700,Beauzelle,Maison,80.0,4.0,sols,504.0,2023
129250.0,31700,Beauzelle,Appartement,40.0,2.0,None,0.0,2023
550000.0,31700,Beauzelle,Maison,170.0,5.0,sols,472.0,2023
349000.0,31700,Beauzelle,Maison,90.0,4.0,sols,227.0,2023
340000.0,31700,Beauzelle,Maison,80.0,4.0,sols,540.0,2023
160000.0,31700,Beauzelle,Appartement,62.0,3.0,None,0.0,2023
44000.0,31700,Beauzelle,Appartement,60.0,3.0,None,0.0,2023
415000.0,31700,Beauzelle,Maison,95.0,4.0,sols,837.0,2023
327180.0,31700,Beauzelle,Maison,88.0,5.0,sols,210.0,2023
172000.0,31700,Beauzelle,Appartement,90.0,4.0,None,0.0,2023
168000.0,31700,Beauzelle,Appartement,66.0,3.0,None,0.0,2023
135000.0,31700,Beauzelle,Appartement,76.0,4.0,None,0.0,2023
132000.0,31700,Beauzelle,Appartement,45.0,2.0,None,0.0,2023
145950.0,31700,Beauzelle,Appartement,43.0,2.0,None,0.0,2023
470830.0,31700,Beauzelle,Maison,109.0,5.0,sols,741.0,2023
199920.0,31700,Beauzelle,Maison,89.0,4.0,sols,158.0,2023
156000.0,31700,Beauzelle,Appartement,53.0,3.0,None,0.0,2023
285000.0,31700,Beauzelle,Maison,101.0,4.0,sols,122.0,2023
180000.0,31700,Beauzelle,Appartement,65.0,3.0,None,0.0,2023
298100.0,31700,Beauzelle,Maison,86.0,4.0,sols,158.0,2023
382900.0,31700,Beauzelle,Maison,88.0,4.0,sols,717.0,2023
210000.0,31700,Beauzelle,Appartement,66.0,3.0,None,0.0,2023
1150000.0,31700,Beauzelle,Maison,240.0,5.0,sols,1246.0,2023
220000.0,31700,Beauzelle,Appartement,61.0,3.0,None,0.0,2023
396250.0,31700,Beauzelle,Maison,109.0,5.0,sols,719.0,2023
249100.0,31700,Beauzelle,Appartement,70.0,3.0,None,0.0,2023
628863.4,31700,Beauzelle,Maison,109.0,5.0,sols,719.0,2023
133150.0,31700,Beauzelle,Appartement,49.0,2.0,None,0.0,2023
284000.0,31700,Beauzelle,Maison,79.0,4.0,sols,380.0,2023
180000.0,31700,Beauzelle,Maison,60.0,3.0,sols,263.0,2023
187500.0,31700,Beauzelle,Appartement,64.0,3.0,None,0.0,2023
500000.0,31700,Beauzelle,Maison,154.0,7.0,None,0.0,2023
260000.0,31700,Beauzelle,Appartement,87.0,4.0,None,0.0,2023
126000.0,31700,Beauzelle,Appartement,45.0,2.0,None,0.0,2023
226000.0,31700,Beauzelle,Appartement,83.0,4.0,None,0.0,2023
189000.0,31700,Beauzelle,Appartement,64.0,3.0,None,0.0,2023
215560.0,31700,Beauzelle,Appartement,63.0,3.0,None,0.0,2023
250000.0,31700,Beauzelle,Maison,90.0,5.0,sols,251.0,2023
118000.0,31700,Beauzelle,Appartement,43.0,2.0,None,0.0,2023
500000.0,31700,Beauzelle,Maison,131.0,4.0,terrains d'agrément,628.0,2023
489020.0,31700,Beauzelle,Maison,138.0,4.0,terrains d'agrément,500.0,2023
530550.0,31700,Beauzelle,Maison,134.0,6.0,sols,727.0,2023
120000.0,31700,Beauzelle,Appartement,76.0,4.0,None,0.0,2023
245400.0,31480,Caubiac,Maison,128.0,4.0,terrains d'agrément,263.0,2023
240000.0,31480,Caubiac,Maison,85.0,5.0,sols,543.0,2023
105000.0,31480,Caubiac,Maison,200.0,5.0,sols,661.0,2023
115000.0,31360,Laffite-Toupière,Maison,84.0,3.0,prés,1490.0,2023
67000.0,31420,Terrebasse,Maison,83.0,1.0,sols,170.0,2022
140000.0,31420,Terrebasse,Maison,99.0,4.0,sols,500.0,2022
290000.0,31420,Terrebasse,Maison,128.0,4.0,sols,1000.0,2022
259450.0,31160,Chein-Dessus,Maison,96.0,3.0,sols,642.0,2022
95000.0,31160,Chein-Dessus,Maison,110.0,4.0,terrains a bâtir,545.0,2022
166150.0,31160,Chein-Dessus,Maison,103.0,1.0,sols,450.0,2022
130000.0,31160,Chein-Dessus,Maison,78.0,4.0,prés,1883.0,2022
173000.0,31160,Chein-Dessus,Maison,104.0,5.0,sols,1322.0,2022
210000.0,31460,Prunet,Maison,118.0,3.0,sols,1252.0,2023
361570.0,31460,Prunet,Maison,129.0,5.0,sols,1680.0,2023
220000.0,31370,Beaufort,Maison,105.0,4.0,sols,871.0,2022
292520.0,31370,Beaufort,Maison,109.0,4.0,terrains d'agrément,2033.0,2022
352000.0,31370,Beaufort,Maison,135.0,5.0,sols,1000.0,2022
324670.0,31350,Saint-Lary-Boujean,Maison,100.0,4.0,taillis simples,15275.0,2023
130000.0,31350,Saint-Lary-Boujean,Maison,90.0,4.0,taillis simples,5450.0,2023
119900.0,31440,Cierp-Gaud,Maison,70.0,3.0,sols,260.0,2022
190100.0,31440,Cierp-Gaud,Maison,84.0,6.0,terres,563.0,2022
73000.0,31440,Cierp-Gaud,Maison,55.0,3.0,sols,112.0,2022
155000.0,31440,Cierp-Gaud,Maison,150.0,5.0,sols,217.0,2022
64000.0,31440,Cierp-Gaud,Maison,70.0,4.0,sols,1836.0,2022
101200.0,31440,Cierp-Gaud,Maison,72.0,5.0,sols,385.0,2022
45000.0,31440,Cierp-Gaud,Maison,55.0,3.0,sols,58.0,2022
182000.0,31440,Cierp-Gaud,Maison,85.0,6.0,sols,124.0,2022
242650.0,31440,Cierp-Gaud,Maison,65.0,3.0,sols,500.0,2022
35000.0,31440,Cierp-Gaud,Maison,50.0,2.0,sols,25.0,2022
42000.0,31440,Cierp-Gaud,Maison,80.0,4.0,sols,40.0,2022
124830.0,31440,Cierp-Gaud,Maison,67.0,4.0,sols,258.0,2022
215000.0,31440,Cierp-Gaud,Maison,91.0,4.0,sols,494.0,2022
418000.0,31440,Cierp-Gaud,Maison,300.0,7.0,jardins,573.0,2022
96520.0,31440,Cierp-Gaud,Maison,58.0,2.0,jardins,270.0,2022
170000.0,31440,Cierp-Gaud,Maison,60.0,3.0,sols,224.0,2022
1.0,31800,Saux-et-Pomarède,Maison,78.0,4.0,None,0.0,2023
197000.0,31800,Saux-et-Pomarède,Maison,117.0,4.0,sols,549.0,2023
1021800.0,31320,Vieille-Toulouse,Maison,220.0,6.0,terrains d'agrément,3003.0,2023
964200.0,31320,Vieille-Toulouse,Maison,188.0,5.0,terrains d'agrément,2604.0,2023
833500.0,31320,Vieille-Toulouse,Maison,231.0,7.0,sols,1127.0,2023
510000.0,31320,Vieille-Toulouse,Maison,127.0,5.0,landes,4488.0,2023
145000.0,31320,Vieille-Toulouse,Maison,118.0,4.0,sols,2280.0,2023
220465.0,31320,Vieille-Toulouse,Appartement,100.0,4.0,None,0.0,2023
264065.0,31320,Vieille-Toulouse,Appartement,112.0,3.0,None,0.0,2023
458500.0,31320,Vieille-Toulouse,Maison,118.0,4.0,sols,1000.0,2023
378000.0,31320,Vieille-Toulouse,Maison,94.0,5.0,sols,1198.0,2023
270000.0,31360,Arnaud-Guilhem,Maison,174.0,6.0,sols,500.0,2023
478000.0,31360,Arnaud-Guilhem,Maison,303.0,7.0,sols,5375.0,2023
122000.0,31360,Arnaud-Guilhem,Maison,72.0,3.0,sols,1220.0,2023
160000.0,31360,Arnaud-Guilhem,Maison,83.0,5.0,sols,765.0,2023
420570.0,31460,Vendine,Maison,150.0,6.0,terrains d'agrément,6640.0,2022
245000.0,31460,Vendine,Maison,97.0,5.0,terres,3882.0,2022
139115.0,31110,Cazarilh-Laspènes,Maison,50.0,2.0,sols,260.0,2023
374290.0,31190,Lagrâce-Dieu,Maison,120.0,6.0,sols,381.0,2022
307270.0,31190,Lagrâce-Dieu,Maison,100.0,4.0,terrains d'agrément,977.0,2022
165500.0,31190,Lagrâce-Dieu,Maison,95.0,3.0,sols,211.0,2022
216000.0,31190,Lagrâce-Dieu,Maison,106.0,5.0,sols,607.0,2022
147000.0,31190,Lagrâce-Dieu,Maison,76.0,2.0,sols,95.0,2022
280000.0,31190,Lagrâce-Dieu,Maison,95.0,3.0,sols,150.0,2022
101400.0,31160,Moncaup,Maison,110.0,3.0,sols,350.0,2023
36500.0,31160,Moncaup,Maison,82.0,5.0,sols,320.0,2023
109678.0,31430,Lussan-Adeilhac,Maison,188.0,6.0,sols,1746.0,2022
549600.0,31430,Lussan-Adeilhac,Maison,200.0,6.0,sols,3620.0,2022
306000.0,31430,Lussan-Adeilhac,Maison,158.0,4.0,terrains d'agrément,3995.0,2022
216000.0,31430,Lussan-Adeilhac,Maison,140.0,5.0,sols,1550.0,2022
256800.0,31430,Lussan-Adeilhac,Maison,120.0,3.0,sols,2080.0,2022
234300.0,31430,Lussan-Adeilhac,Maison,111.0,5.0,sols,1960.0,2022
115000.0,31360,Saint-Médard,Maison,105.0,5.0,sols,451.0,2022
181900.0,31360,Saint-Médard,Maison,116.0,3.0,terrains d'agrément,1078.0,2022
333900.0,31460,Loubens-Lauragais,Maison,98.0,4.0,sols,1000.0,2023
544000.0,31460,Loubens-Lauragais,Maison,215.0,6.0,sols,3882.0,2023
227500.0,31460,Loubens-Lauragais,Maison,118.0,4.0,terrains a bâtir,2350.0,2023
77000.0,31460,Loubens-Lauragais,Maison,88.0,5.0,prés,1593.0,2023
262873.0,31530,Lasserre-Pradère,Maison,89.0,4.0,sols,258.0,2023
292500.0,31530,Lasserre-Pradère,Maison,100.0,4.0,sols,702.0,2023
310000.0,31530,Lasserre-Pradère,Maison,107.0,5.0,jardins,527.0,2023
452150.0,31530,Lasserre-Pradère,Maison,134.0,8.0,sols,924.0,2023
246300.0,31530,Lasserre-Pradère,Maison,82.0,4.0,terrains a bâtir,433.0,2023
180000.0,31530,Lasserre-Pradère,Maison,45.0,1.0,sols,222.0,2023
310800.0,31530,Lasserre-Pradère,Maison,117.0,4.0,sols,650.0,2023
247000.0,31530,Lasserre-Pradère,Maison,92.0,3.0,sols,1291.0,2023
122020.0,31530,Lasserre-Pradère,Maison,45.0,1.0,sols,90.0,2023
