valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain,year,month,log_valeur_fonciere,prix_mcarre
220000.0,31560,Nailloux,Maison,110.0,3.0,sols,204.0,2022,8,12.301387370778713,2000.0
251500.0,31560,Nailloux,Maison,130.0,4.0,sols,434.0,2022,8,12.435202244657168,1934.6153846153845
56500.0,31560,Nailloux,Maison,95.0,4.0,,0.0,2022,9,10.942013616092948,594.7368421052631
154291.0,31560,Nailloux,Maison,81.0,4.0,,0.0,2022,9,11.946602189955948,1904.8271604938273
70000.0,31560,Nailloux,Maison,120.0,5.0,sols,169.0,2022,9,11.156264806643742,583.3333333333334
107000.0,31560,Nailloux,Maison,80.0,2.0,sols,289.0,2022,10,11.580593459194764,1337.5
272900.0,31560,Nailloux,Maison,93.0,4.0,sols,642.0,2022,10,12.51686437103563,2934.4086021505377
190000.0,31560,Nailloux,Maison,84.0,4.0,,0.0,2022,10,12.154784614286667,2261.904761904762
215000.0,31560,Nailloux,Maison,93.0,4.0,sols,470.0,2022,10,12.278397958261774,2311.8279569892475
135850.0,31560,Nailloux,Maison,64.0,3.0,sols,40.0,2022,11,11.819313975887393,2122.65625
136700.0,31560,Nailloux,Maison,65.0,3.0,,0.0,2022,11,11.825551337974238,2103.076923076923
215000.0,31560,Nailloux,Maison,75.0,4.0,sols,793.0,2022,12,12.278397958261774,2866.6666666666665
187000.0,31560,Nailloux,Maison,41.0,3.0,sols,194.0,2022,12,12.138869243416009,4560.975609756098
291600.0,31560,Nailloux,Maison,92.0,4.0,sols,482.0,2022,12,12.58314170846604,3169.5652173913045
164000.0,31560,Nailloux,Maison,86.0,4.0,,0.0,2022,12,12.00762780434872,1906.9767441860465
299750.0,31410,Capens,Maison,130.0,5.0,terres,2352.0,2023,2,12.610707408997623,2305.769230769231
310000.0,31410,Capens,Maison,105.0,4.0,terrains d'agrément,1200.0,2023,5,12.644330802262578,2952.3809523809523
145000.0,31410,Capens,Maison,88.0,4.0,sols,1059.0,2023,6,11.884495917930655,1647.7272727272727
326500.0,31410,Capens,Maison,154.0,5.0,sols,295.0,2023,8,12.696188290481068,2120.12987012987
18000.0,31440,Fos,Maison,20.0,1.0,sols,70.0,2022,2,9.798182590890704,900.0
81000.0,31440,Fos,Maison,73.0,4.0,sols,152.0,2022,4,11.302216779257382,1109.5890410958905
55000.0,31440,Fos,Maison,67.0,4.0,sols,110.0,2022,7,10.915106645867503,820.8955223880597
45000.0,31440,Fos,Maison,84.0,3.0,sols,220.0,2022,11,10.714439990727769,535.7142857142857
103000.0,31440,Fos,Maison,52.0,4.0,sols,427.0,2022,12,11.542493975902508,1980.7692307692307
351000.0,31130,Flourens,Maison,100.0,4.0,sols,4394.0,2023,1,12.768544351446794,3510.0
509300.0,31130,Flourens,Maison,141.0,5.0,sols,559.0,2023,1,13.140794476350054,3612.0567375886526
475770.0,31130,Flourens,Maison,104.0,5.0,sols,511.0,2023,2,13.072691925014485,4574.711538461538
565737.5,31130,Flourens,Maison,169.0,6.0,sols,528.0,2023,2,13.24588723628963,3347.559171597633
434600.0,31130,Flourens,Maison,129.0,5.0,terrains a bâtir,1015.0,2023,2,12.982183647768226,3368.9922480620153
512000.0,31130,Flourens,Maison,124.0,4.0,sols,848.0,2023,3,13.146081857144738,4129.032258064516
421280.0,31130,Flourens,Maison,115.0,5.0,sols,536.0,2023,4,12.95105534844551,3663.304347826087
485000.0,31130,Flourens,Maison,125.0,4.0,sols,1000.0,2023,6,13.091906231773164,3880.0
500000.0,31130,Flourens,Maison,105.0,4.0,sols,859.0,2023,6,13.122365377402328,4761.9047619047615
295000.0,31130,Flourens,Maison,94.0,3.0,sols,664.0,2023,6,12.59473402514672,3138.2978723404253
325000.0,31130,Flourens,Maison,102.0,4.0,sols,707.0,2023,9,12.691583538230217,3186.274509803922
403600.0,31130,Flourens,Maison,120.0,6.0,sols,865.0,2023,10,12.908182045159215,3363.3333333333335
150000.0,31130,Flourens,Maison,70.0,3.0,landes,2020.0,2023,10,11.918397239722838,2142.8571428571427
446480.0,31130,Flourens,Maison,124.0,7.0,sols,600.0,2023,11,13.009152125201789,3600.6451612903224
420000.0,31700,Beauzelle,Maison,86.0,4.0,sols,1125.0,2023,1,12.948012371209098,4883.720930232558
229230.0,31700,Beauzelle,Maison,67.0,3.0,sols,138.0,2023,1,12.342485507730952,3421.3432835820895
450000.0,31700,Beauzelle,Maison,145.0,4.0,sols,656.0,2023,1,13.017005083966255,3103.448275862069
411000.0,31700,Beauzelle,Maison,115.0,5.0,sols,640.0,2023,2,12.926350926565435,3573.913043478261
370000.0,31700,Beauzelle,Maison,88.0,4.0,sols,448.0,2023,2,12.821260987319457,4204.545454545455
353765.0,31700,Beauzelle,Maison,116.0,5.0,sols,390.0,2023,2,12.776390956598732,3049.698275862069
260100.0,31700,Beauzelle,Maison,85.0,5.0,sols,408.0,2023,3,12.468825296104477,3060.0
421000.0,31700,Beauzelle,Maison,107.0,5.0,sols,599.0,2023,3,12.95039048795861,3934.5794392523367
323940.0,31700,Beauzelle,Maison,91.0,4.0,sols,205.0,2023,4,12.688316679427041,3559.78021978022
375150.0,31700,Beauzelle,Maison,90.0,3.0,sols,653.0,2023,4,12.835083890570749,4168.333333333333
512040.0,31700,Beauzelle,Maison,125.0,5.0,sols,651.0,2023,4,13.146159978940563,4096.32
340000.0,31700,Beauzelle,Maison,94.0,4.0,sols,631.0,2023,5,12.73670383776449,3617.021276595745
371000.0,31700,Beauzelle,Maison,95.0,5.0,sols,393.0,2023,6,12.82396003700373,3905.2631578947367
280000.0,31700,Beauzelle,Maison,90.0,5.0,sols,247.0,2023,6,12.54254845357358,3111.1111111111113
280000.0,31700,Beauzelle,Maison,90.0,4.0,sols,372.0,2023,5,12.54254845357358,3111.1111111111113
317000.0,31700,Beauzelle,Maison,80.0,4.0,sols,576.0,2023,5,12.666660207428574,3962.5
319610.0,31700,Beauzelle,Maison,114.0,5.0,,0.0,2023,6,12.674859910304498,2803.59649122807
440000.0,31700,Beauzelle,Maison,110.0,4.0,sols,920.0,2023,6,12.994532278619134,4000.0
360000.0,31700,Beauzelle,Maison,80.0,4.0,sols,504.0,2023,6,12.793862088206213,4500.0
550000.0,31700,Beauzelle,Maison,170.0,5.0,sols,472.0,2023,6,13.217675375388819,3235.294117647059
349000.0,31700,Beauzelle,Maison,90.0,4.0,sols,227.0,2023,7,12.762830066509972,3877.777777777778
340000.0,31700,Beauzelle,Maison,80.0,4.0,sols,540.0,2023,7,12.73670383776449,4250.0
415000.0,31700,Beauzelle,Maison,95.0,4.0,sols,837.0,2023,7,12.936036208848487,4368.421052631579
327180.0,31700,Beauzelle,Maison,88.0,5.0,sols,210.0,2023,7,12.698268813565033,3717.9545454545455
470830.0,31700,Beauzelle,Maison,109.0,5.0,sols,741.0,2023,8,13.062254497570132,4319.54128440367
199920.0,31700,Beauzelle,Maison,89.0,4.0,sols,158.0,2023,8,12.205677567497125,2246.2921348314608
285000.0,31700,Beauzelle,Maison,101.0,4.0,sols,122.0,2023,8,12.560247968016562,2821.7821782178216
298100.0,31700,Beauzelle,Maison,86.0,4.0,sols,158.0,2023,9,12.605187634239536,3466.279069767442
382900.0,31700,Beauzelle,Maison,88.0,4.0,sols,717.0,2023,9,12.855531749109925,4351.136363636364
396250.0,31700,Beauzelle,Maison,109.0,5.0,sols,719.0,2023,10,12.88980312782975,3635.321100917431
284000.0,31700,Beauzelle,Maison,79.0,4.0,sols,380.0,2023,10,12.556733038263905,3594.9367088607596
180000.0,31700,Beauzelle,Maison,60.0,3.0,sols,263.0,2023,10,12.100717685412471,3000.0
500000.0,31700,Beauzelle,Maison,154.0,7.0,,0.0,2023,11,13.122365377402328,3246.753246753247
250000.0,31700,Beauzelle,Maison,90.0,5.0,sols,251.0,2023,12,12.429220196836383,2777.777777777778
500000.0,31700,Beauzelle,Maison,131.0,4.0,terrains d'agrément,628.0,2023,12,13.122365377402328,3816.793893129771
489020.0,31700,Beauzelle,Maison,138.0,4.0,terrains d'agrément,500.0,2023,12,13.100160712320184,3543.623188405797
530550.0,31700,Beauzelle,Maison,134.0,6.0,sols,727.0,2023,12,13.18167136813645,3959.3283582089553
245400.0,31480,Caubiac,Maison,128.0,4.0,terrains d'agrément,263.0,2023,6,12.41064888623027,1917.1875
240000.0,31480,Caubiac,Maison,85.0,5.0,sols,543.0,2023,7,12.388398368982115,2823.529411764706
105000.0,31480,Caubiac,Maison,200.0,5.0,sols,661.0,2023,7,11.561725152903833,525.0
115000.0,31360,Laffite-Toupière,Maison,84.0,3.0,prés,1490.0,2023,8,11.652696102959753,1369.047619047619
67000.0,31420,Terrebasse,Maison,83.0,1.0,sols,170.0,2022,4,11.112462823634855,807.2289156626506
140000.0,31420,Terrebasse,Maison,99.0,4.0,sols,500.0,2022,9,11.849404844423074,1414.141414141414
290000.0,31420,Terrebasse,Maison,128.0,4.0,sols,1000.0,2022,11,12.577639650232573,2265.625
259450.0,31160,Chein-Dessus,Maison,96.0,3.0,sols,642.0,2022,3,12.466323139095646,2702.6041666666665
95000.0,31160,Chein-Dessus,Maison,110.0,4.0,terrains a bâtir,545.0,2022,4,11.461642696843066,863.6363636363636
166150.0,31160,Chein-Dessus,Maison,103.0,1.0,sols,450.0,2022,10,12.020652292422467,1613.106796116505
130000.0,31160,Chein-Dessus,Maison,78.0,4.0,prés,1883.0,2022,10,11.775297421715827,1666.6666666666667
173000.0,31160,Chein-Dessus,Maison,104.0,5.0,sols,1322.0,2022,12,12.06105265381003,1663.4615384615386
210000.0,31460,Prunet,Maison,118.0,3.0,sols,1252.0,2023,1,12.25486757159303,1779.6610169491526
361570.0,31460,Prunet,Maison,129.0,5.0,sols,1680.0,2023,10,12.798213705168994,2802.8682170542634
220000.0,31370,Beaufort,Maison,105.0,4.0,sols,871.0,2022,3,12.301387370778713,2095.2380952380954
292520.0,31370,Beaufort,Maison,109.0,4.0,terrains d'agrément,2033.0,2022,4,12.586291737948715,2683.669724770642
352000.0,31370,Beaufort,Maison,135.0,5.0,sols,1000.0,2022,8,12.77138929548529,2607.4074074074074
130000.0,31350,Saint-Lary-Boujean,Maison,90.0,4.0,taillis simples,5450.0,2023,12,11.775297421715827,1444.4444444444443
119900.0,31440,Cierp-Gaud,Maison,70.0,3.0,sols,260.0,2022,1,11.694421681264394,1712.857142857143
190100.0,31440,Cierp-Gaud,Maison,84.0,6.0,terres,563.0,2022,2,12.155310788851953,2263.095238095238
73000.0,31440,Cierp-Gaud,Maison,55.0,3.0,sols,112.0,2022,2,11.19822841866684,1327.2727272727273
155000.0,31440,Cierp-Gaud,Maison,150.0,5.0,sols,217.0,2022,4,11.951186847493476,1033.3333333333333
64000.0,31440,Cierp-Gaud,Maison,70.0,4.0,sols,1836.0,2022,4,11.06665398721974,914.2857142857143
